epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9789,1.00906,2.31587,1.44855,0.69943,0.31126,0.22338,0.14921,1.75096,3.01525,2.39215,0.000364455,0.000364455,0.000364455
2,72.0172,1.08407,1.49389,1.47324,0.38303,0.17932,0.11336,0.06694,2.01128,3.36651,2.87017,0.000727514,0.000727514,0.000727514
3,94.5774,1.16809,1.4903,1.55886,0.36028,0.09465,0.04138,0.01472,2.60254,3.31007,3.18263,0.00108324,0.00108324,0.00108324
4,117.167,1.16502,1.4258,1.55308,0.82756,0.09217,0.10509,0.04927,2.16689,5.29492,3.09969,0.001078,0.001078,0.001078
5,139.974,1.14709,1.40527,1.52533,0.6716,0.28514,0.24387,0.14284,1.97083,2.6194,3.07923,0.001067,0.001067,0.001067
6,162.177,1.10018,1.36452,1.48542,0.67306,0.25962,0.18157,0.12094,1.74456,2.44064,2.38986,0.00105601,0.00105601,0.00105601
7,184.655,1.06899,1.31302,1.46311,0.35429,0.4634,0.23871,0.15362,1.68779,3.28744,2.32551,0.00104501,0.00104501,0.00104501
8,207.282,1.03098,1.2515,1.43883,0.54434,0.3421,0.30616,0.21642,1.61883,2.09206,2.10985,0.00103401,0.00103401,0.00103401
9,229.42,1.00533,1.21492,1.42613,0.47435,0.35863,0.2843,0.21882,1.55167,4.91623,2.1208,0.00102301,0.00102301,0.00102301
10,252.12,1.02708,1.19184,1.4143,0.49871,0.35159,0.32698,0.23374,1.54059,2.11047,2.06892,0.00101201,0.00101201,0.00101201
11,275.061,1.01718,1.22505,1.42861,0.473,0.40884,0.33209,0.24352,1.54865,1.96523,2.05466,0.00100101,0.00100101,0.00100101
12,297.051,0.98078,1.13884,1.37337,0.24498,0.60159,0.34858,0.26447,1.45732,2.03611,1.97099,0.000990012,0.000990012,0.000990012
13,319.539,0.94378,1.15814,1.3608,0.24968,0.47785,0.32168,0.25767,1.45434,1.89366,1.8893,0.000979013,0.000979013,0.000979013
14,342.084,0.94515,1.08689,1.34721,0.30483,0.36579,0.30037,0.23331,1.44952,2.29799,1.98576,0.000968014,0.000968014,0.000968014
15,364.571,0.9282,1.09931,1.33943,0.32086,0.51718,0.38596,0.29994,1.34444,1.76779,1.93347,0.000957015,0.000957015,0.000957015
16,386.824,0.86346,1.04635,1.31353,0.27314,0.43478,0.33713,0.25379,1.40399,1.87759,1.91563,0.000946016,0.000946016,0.000946016
17,409.577,0.91077,1.08395,1.33796,0.29689,0.54675,0.37011,0.29752,1.42281,1.75117,1.9245,0.000935018,0.000935018,0.000935018
18,432.407,0.91923,1.03364,1.3239,0.30608,0.51328,0.35936,0.28476,1.36374,1.78313,1.88111,0.000924019,0.000924019,0.000924019
19,454.53,0.91922,1.02133,1.32636,0.25289,0.54293,0.32785,0.25608,1.34014,2.0755,1.87302,0.00091302,0.00091302,0.00091302
20,477.066,0.87436,1.04157,1.30236,0.27869,0.59433,0.38605,0.30481,1.33484,1.8332,1.87582,0.000902021,0.000902021,0.000902021
21,499.974,0.85606,1.00761,1.29053,0.35387,0.60301,0.40143,0.31455,1.45743,1.92152,1.95256,0.000891022,0.000891022,0.000891022
22,522.047,0.84337,0.98109,1.2838,0.32911,0.60424,0.39522,0.31744,1.3052,1.6715,1.8801,0.000880023,0.000880023,0.000880023
23,544.523,0.85327,1.01067,1.298,0.31242,0.6319,0.40888,0.31875,1.32319,1.70598,1.84893,0.000869024,0.000869024,0.000869024
24,567.355,0.841,0.95524,1.2903,0.34824,0.5396,0.39921,0.31364,1.31497,1.6105,1.81414,0.000858025,0.000858025,0.000858025
25,589.341,0.81601,0.93908,1.2715,0.3386,0.60139,0.423,0.34449,1.33154,1.78722,1.85856,0.000847026,0.000847026,0.000847026
26,611.545,0.83207,0.92447,1.2728,0.41316,0.58255,0.43139,0.33954,1.36529,1.66458,1.87256,0.000836027,0.000836027,0.000836027
27,634.105,0.80321,0.92493,1.25894,0.3625,0.59329,0.41743,0.33413,1.32535,1.6946,1.82908,0.000825029,0.000825029,0.000825029
28,656.537,0.79784,0.88593,1.25413,0.31256,0.615,0.40365,0.31897,1.27124,1.78208,1.80126,0.00081403,0.00081403,0.00081403
29,678.595,0.81145,0.91065,1.25586,0.3777,0.56978,0.42764,0.35354,1.30901,1.74011,1.75462,0.000803031,0.000803031,0.000803031
30,701.458,0.77475,0.88751,1.23518,0.33455,0.58756,0.42141,0.3382,1.30867,1.75896,1.85871,0.000792032,0.000792032,0.000792032
31,724.15,0.79691,0.90175,1.25418,0.36674,0.5787,0.4233,0.34581,1.27783,1.72447,1.80247,0.000781033,0.000781033,0.000781033
32,746.026,0.80187,0.88719,1.25472,0.42408,0.53689,0.4287,0.33153,1.34377,1.87019,1.87703,0.000770034,0.000770034,0.000770034
33,768.832,0.80436,0.86884,1.2481,0.39635,0.50281,0.42509,0.35042,1.31147,1.78874,1.85271,0.000759035,0.000759035,0.000759035
34,791.727,0.77429,0.86437,1.22592,0.35722,0.61315,0.42225,0.34248,1.241,1.6906,1.81354,0.000748036,0.000748036,0.000748036
35,813.862,0.77782,0.87476,1.22521,0.31823,0.62844,0.40244,0.32279,1.25172,1.63407,1.7615,0.000737037,0.000737037,0.000737037
36,836.576,0.76763,0.86982,1.23791,0.31775,0.60792,0.40681,0.33014,1.23836,1.77187,1.81412,0.000726038,0.000726038,0.000726038
37,859.383,0.77855,0.82793,1.23318,0.37015,0.62453,0.45093,0.36397,1.27071,1.84802,1.90131,0.00071504,0.00071504,0.00071504
38,881.863,0.74508,0.85128,1.21693,0.35452,0.61571,0.43252,0.34913,1.18735,1.6156,1.73303,0.000704041,0.000704041,0.000704041
39,903.899,0.72935,0.81393,1.20319,0.33573,0.64476,0.44098,0.36879,1.18293,1.62253,1.68149,0.000693042,0.000693042,0.000693042
40,926.627,0.76989,0.84771,1.21736,0.34371,0.63074,0.44525,0.37614,1.23471,1.62154,1.78514,0.000682043,0.000682043,0.000682043
41,949.277,0.77273,0.85173,1.22602,0.37369,0.65045,0.46573,0.38169,1.17476,1.64777,1.74845,0.000671044,0.000671044,0.000671044
42,971.275,0.74819,0.82284,1.21834,0.33202,0.62089,0.43621,0.34452,1.28583,1.69293,1.8928,0.000660045,0.000660045,0.000660045
43,994.002,0.74536,0.79942,1.19935,0.38495,0.58136,0.4336,0.35366,1.23361,1.57657,1.76521,0.000649046,0.000649046,0.000649046
44,1016.66,0.74415,0.82158,1.20954,0.35367,0.60463,0.43799,0.36073,1.12187,1.63853,1.63923,0.000638047,0.000638047,0.000638047
45,1038.59,0.7377,0.82885,1.21227,0.42438,0.64125,0.45425,0.37431,1.24447,1.9306,1.78801,0.000627048,0.000627048,0.000627048
46,1062.11,0.72854,0.81074,1.18881,0.35712,0.64469,0.43899,0.35846,1.1951,1.57748,1.76262,0.000616049,0.000616049,0.000616049
47,1085.29,0.70766,0.79197,1.19102,0.37705,0.63784,0.44764,0.3753,1.18145,1.51703,1.73957,0.000605051,0.000605051,0.000605051
48,1107.75,0.72827,0.80627,1.20605,0.39978,0.64195,0.45103,0.37368,1.15339,1.63675,1.64155,0.000594052,0.000594052,0.000594052
49,1129.71,0.71978,0.78739,1.18179,0.3657,0.69142,0.45691,0.38089,1.12543,1.7161,1.67357,0.000583053,0.000583053,0.000583053
50,1152.53,0.7165,0.7734,1.18464,0.37193,0.61788,0.41247,0.34379,1.17796,1.87672,1.72207,0.000572054,0.000572054,0.000572054
