epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9928,0.75003,4.80428,0.01082,0.53108,0.52397,0.44734,0.27715,1.24598,2.52928,0.0317,0.00065,0.00065,0.00065
2,98.1949,1.15315,1.91291,0.01664,0.00592,0.27397,0.0107,0.00461,1.82836,4.36193,0.04623,0.00130218,0.00130218,0.00130218
3,135.476,1.33323,1.76124,0.02209,0.14252,0.23973,0.09632,0.03973,2.25424,3.9841,0.06087,0.0019397,0.0019397,0.0019397
4,174.125,1.46014,1.73995,0.02319,0.11691,0.11834,0.02863,0.00846,3.02984,4.36274,0.09363,0.001934,0.001934,0.001934
5,211.846,1.38553,1.67918,0.0216,0.37895,0.2637,0.20566,0.10765,nan,nan,nan,0.001912,0.001912,0.001912
6,249.884,1.34511,1.56961,0.02085,0.65134,0.57192,0.5574,0.34287,1.40233,1.82026,0.03368,0.00189,0.00189,0.00189
7,288.318,1.31999,1.54113,0.02104,0.33623,0.42808,0.29095,0.11137,1.88668,2.46184,0.05296,0.001868,0.001868,0.001868
8,326.287,1.3026,1.52463,0.01982,0.49337,0.43151,0.41468,0.23665,1.75551,2.46282,0.04626,0.001846,0.001846,0.001846
9,363.82,1.18868,1.36003,0.01726,0.5811,0.5,0.53009,0.33877,1.40102,1.82284,0.03566,0.001824,0.001824,0.001824
10,401.79,1.16703,1.26724,0.01808,0.53264,0.4726,0.46341,0.2421,1.66973,1.79525,0.04563,0.001802,0.001802,0.001802
11,439.603,1.17729,1.34691,0.01827,0.70031,0.60022,0.65491,0.4582,1.17802,1.38517,0.02772,0.00178,0.00178,0.00178
12,483.896,1.08205,1.2395,0.01639,0.72321,0.59589,0.657,0.45337,1.16618,1.41687,0.02731,0.001758,0.001758,0.001758
13,521.873,1.12235,1.23805,0.01794,0.74853,0.59589,0.67077,0.50535,1.05506,1.20616,0.0235,0.001736,0.001736,0.001736
14,565.621,1.07227,1.22336,0.01531,0.74667,0.65753,0.71023,0.48885,1.15796,1.20005,0.02788,0.001714,0.001714,0.001714
15,603.828,1.03888,1.16059,0.01553,0.76054,0.69613,0.70969,0.50394,1.12102,1.17486,0.02711,0.001692,0.001692,0.001692
16,641.265,1.00367,1.13977,0.01476,0.83906,0.68836,0.75804,0.56547,1.03005,1.00922,0.02517,0.00167,0.00167,0.00167
17,679.395,0.94787,1.12313,0.01337,0.67534,0.66963,0.67552,0.49898,0.96862,1.14631,0.02194,0.001648,0.001648,0.001648
18,717.438,0.97359,1.1639,0.01298,0.55667,0.51027,0.48969,0.31756,1.32948,1.83284,0.03451,0.001626,0.001626,0.001626
19,755.435,0.93278,1.11054,0.01345,0.84177,0.67808,0.76731,0.61089,0.90845,0.98311,0.02059,0.001604,0.001604,0.001604
20,793.703,0.90931,1.01331,0.01311,0.85579,0.65411,0.77058,0.63456,0.79841,0.89262,0.01662,0.001582,0.001582,0.001582
21,832.061,0.9023,1.08526,0.01316,0.79918,0.6678,0.74928,0.60078,0.87643,0.96032,0.0188,0.00156,0.00156,0.00156
22,869.805,0.8957,1.01176,0.01286,0.74347,0.68493,0.72994,0.56926,0.91374,1.01393,0.02063,0.001538,0.001538,0.001538
23,907.324,0.91497,1.02645,0.01277,0.85887,0.60439,0.73302,0.55516,0.99016,1.09685,0.02168,0.001516,0.001516,0.001516
24,945.369,0.89994,0.98027,0.01165,0.77861,0.73288,0.76199,0.64305,0.75482,0.90519,0.01573,0.001494,0.001494,0.001494
25,987.683,0.81386,0.91117,0.01139,0.73043,0.64955,0.71391,0.58248,0.79665,1.10881,0.01712,0.001472,0.001472,0.001472
26,1025.33,0.86477,0.93526,0.01184,0.72515,0.73973,0.76467,0.63836,0.77535,0.90623,0.01638,0.00145,0.00145,0.00145
27,1062.7,0.82452,0.93196,0.0119,0.8588,0.70819,0.79784,0.66933,0.72837,0.81295,0.01528,0.001428,0.001428,0.001428
28,1107.88,0.78634,0.93531,0.01057,0.79299,0.72155,0.75696,0.61449,0.78236,0.96988,0.01681,0.001406,0.001406,0.001406
29,1145.53,0.75017,0.85554,0.01019,0.83836,0.71918,0.78633,0.67965,0.68834,0.82845,0.01435,0.001384,0.001384,0.001384
30,1190.25,0.80542,0.92056,0.01103,0.85683,0.7089,0.79913,0.64859,0.80134,0.84408,0.01816,0.001362,0.001362,0.001362
31,1227.8,0.81428,0.9892,0.01089,0.85894,0.70902,0.78596,0.67333,0.70427,0.83254,0.01415,0.00134,0.00134,0.00134
32,1265.54,0.76073,0.89028,0.01078,0.82282,0.73161,0.78449,0.67541,0.71198,0.84458,0.01431,0.001318,0.001318,0.001318
33,1302.98,0.78575,0.91027,0.01065,0.82565,0.7226,0.79944,0.68181,0.71646,0.8835,0.01436,0.001296,0.001296,0.001296
34,1348.27,0.74137,0.85242,0.00941,0.76504,0.72945,0.77566,0.65411,0.72368,0.84839,0.01586,0.001274,0.001274,0.001274
35,1385.75,0.75347,0.84776,0.00929,0.81916,0.76015,0.79052,0.69906,0.64048,0.78522,0.01193,0.001252,0.001252,0.001252
36,1424.46,0.71944,0.79684,0.00973,0.87865,0.71909,0.82479,0.71486,0.68079,0.73897,0.0137,0.00123,0.00123,0.00123
37,1462.87,0.77289,0.88222,0.01032,0.86508,0.7774,0.82368,0.70385,0.69622,0.75085,0.01444,0.001208,0.001208,0.001208
